student_id,attendance_percentage,study_hours_per_day,daily_completion_percent,sleep_hours,screen_time,Academic Performance Change,breaks_per_day,app_opens_per_day,burnout_score,pass_fail,programming_score,math_prev_score,science_prev_score,arts_prev_score,daily_study_hours
59,69.8232886,9.13,67.24,6.835263357,5.109731692,Same,9,112,3.411786004,1,42.48750089,47.40911288,42.32135094,53.58140206,4.054063375
60,68.45895718,2.28,77.24,6.313692374,5.138388925,Same,13,35,0.298823497,1,57.89316819,56.82322397,56.85258391,57.09794214,1.434730157
61,72.32768083,6.23,38.62,6.643075973,3.279334673,Same,4,131,0.58350824,1,61.37725093,61.12993238,60.73456338,62.85537338,4.92503031
62,72.22448916,9.06,87.48,5.802567832,3.63203601,Improved,5,93,0.118167757,1,54.92419675,58.29829421,45.51495152,47.340984,2.526465996
63,78.73581182,0.95,100,6.725948732,4.372492287,Same,1,168,3.074923635,1,85.580563,79.9669529,82.83693846,92.96523513,4.100938156
64,71.6447867,5.4,78.77,6.44967212,2.057812447,Improved,14,83,3.468883589,1,59.62143297,61.5334817,60.08565747,53.78253521,2.370364331
65,64.02324848,4.78,84.4,6.438729579,1.19214945,Same,6,100,1.868279718,1,55.45139803,56.28365907,56.25067999,56.53527585,3.510675509
66,79.24826448,9.32,88.33,6.86344172,1,Same,8,79,2.164558362,1,69.84828457,72.31054089,64.70990887,64.36177194,1.768064339
67,64.63243143,6.81,78.37,6.26136065,5.934506118,Declined,1,83,2.445782677,1,47.75083237,49.19667559,54.07937158,44.80649824,1.584084077
68,83.55267604,3.82,98.27,7.70150616,1.119997516,Same,6,119,7.300218724,1,84.12083394,96.39733464,79.7899597,79.93452179,4.752256558
69,58.13714971,7.26,83.99,8.576877412,7.413438418,Declined,14,77,5.704894223,1,44.1002854,40.91158548,48.94757141,41.0609091,4.670589112
70,90.67455255,6.04,96.82,8.733845094,6.435394405,Improved,6,144,0.755732746,1,94.27878151,91.62379674,96.41475332,91.583168,4.549875761
71,91.66029576,3.8,69.26,6.980999316,3.700266783,Improved,11,131,3.152826864,1,82.47346231,79.35775968,79.24232576,79.73211834,3.501733801
72,60.42512277,7.96,76.56,7.524162142,3.205697665,Improved,2,53,0,1,50.92936248,48.15197689,59.80591695,55.09603204,4.233072845
73,58.45306318,6.85,86.24,6.136959322,8.185675179,Declined,10,34,4.451803562,0,40.30371644,37.11678081,34.33553228,34.77940248,1.276147748
74,83.58322665,0.55,83.93,6.980394834,5.508256999,Same,12,139,2.016980156,1,84.85037857,90.79546122,89.44614943,85.9530857,2.339156168
75,83.37060802,8.72,83.64,7.562705696,2.024834381,Declined,6,40,1.643449925,1,78.87715391,85.97967515,83.8800655,84.96694967,2.254812499
76,77.24996569,4.27,96.27,6.779758868,6.033065107,Declined,9,61,0.847502132,1,80.09539424,77.24166277,76.7422932,77.52941242,3.542581288
77,67.04478308,6.63,71.54,8.118317073,1.981878959,Same,13,88,3.900253827,1,82.41986907,78.2580912,89.38219557,78.83027461,2.423831094
78,68.83217539,4.27,70.7,7.500825363,4.529950403,Same,13,138,1.984542371,1,44.07245585,46.42953363,42.82222327,42.91983272,1.594027127
79,73.66033813,8.87,64.52,6.307873137,6.16058461,Declined,13,27,0.166636048,1,59.71561507,56.95449985,61.15908322,65.61424111,3.385868302
80,54.47166148,6.68,71.18,7.0816427,5.875446519,Same,13,50,3.934077106,1,46.37279827,49.53745736,47.67440747,47.34333643,4.257535683
81,80.69750025,6,80.65,6.027265541,6.220491813,Improved,10,66,0,1,87.47068842,88.48530353,86.79914472,84.81461695,2.528493978
82,84.98161064,9.81,58.58,7.986018184,1.473487967,Declined,1,44,3.486724448,1,74.28139698,66.7026764,78.33543834,76.70078023,1.52907486
83,76.33867778,3.17,83.81,6.314261937,6.704844535,Same,14,46,0,1,58.19939137,65.93691737,62.16683497,52.68793062,1.786752789
84,66.44105475,1.12,100,6.794508894,3.127809286,Improved,1,71,4.947650825,1,43.49570927,52.47509763,34.7530494,46.90250682,1.949933221
85,67.67145168,5.4,91.32,6.90306238,5.211002026,Same,12,152,4.905916096,1,57.10402769,54.04008424,63.62572891,59.14706423,2.199590372
86,69.35747845,4.53,100,8.062460998,3.803808367,Improved,13,23,2.507206052,1,57.88508271,55.94657491,49.57262277,56.34604036,3.571180282
87,79.40954088,4.82,82.33,7.196101234,2.880294481,Improved,11,85,2.510046764,1,80.12833981,81.55766676,85.29107083,75.93541082,3.403781938
88,83.17402938,6.39,62.81,6.562099941,3.059350965,Same,1,159,2.552403627,1,75.06566092,76.73794487,80.69918661,70.63225631,3.784319446
89,80.01913839,6.34,80.29,7.221841859,4.234820223,Declined,4,153,2.915942061,1,88.79670084,92.08942221,83.34186869,91.47078752,2.450007938
90,68.95691217,4.23,84.04,6.205191154,2.680494354,Improved,14,122,1.02272358,1,65.97182088,76.02284358,63.91774944,72.1167234,4.295990608
91,68.3402147,8.7,84.05,6.646564785,5.923543241,Improved,10,148,0.730275127,0,46.57768353,45.69294739,41.04916018,43.39114479,1.816350645
92,79.39242437,6.69,73.98,6.928673525,5.022079388,Same,14,170,1.996455008,1,79.2284633,75.23697707,78.15385815,81.52039682,2.87616299
93,87.81392561,8.95,100,8.457024698,1.048448141,Improved,3,156,1.920271787,1,81.84317767,74.94658153,80.30300625,71.40804258,4.203754886
94,72.0775619,9.17,100,6.388162456,4.022482707,Same,4,80,5.459370867,1,70.87024587,67.21559567,74.76854853,67.94715721,1.720634591
95,80.92770565,2.09,63.52,7.44241353,1.95443203,Improved,6,158,0,1,82.4031949,82.23756003,88.95473863,82.24790023,1.439452455
96,68.96731398,6.97,95.8,6.222730304,7.057709996,Improved,10,144,2.950994487,1,67.1587578,76.13154712,74.13717685,62.61034072,4.534735871
97,74.41196622,3.52,85.15,6.047072077,5.133156345,Improved,14,158,2.670052136,1,68.75030562,66.16224912,65.93946548,64.06777374,2.371718651
98,64.36464332,8.45,100,7.640552239,4.937139144,Declined,10,159,3.597516826,1,63.51475601,64.63369577,62.46864664,60.17585823,3.7354805
99,58.26085888,7.46,94.69,7.498928572,4.227320843,Declined,11,160,2.384478316,0,41.39805197,41.31593749,32.98086101,42.85901561,1.101394417
100,55.78574492,2.39,76.53,7.513821108,4.964266535,Improved,1,70,1.864900218,1,45.93402848,51.87599485,41.90467815,44.99738339,3.760187554
101,64.33391877,9.42,81.71,6.12069552,6.15189957,Declined,5,29,1.901484731,1,41.72860521,54.36326734,46.55286338,30.53744905,2.264405246
102,81.08423301,6.99,76.61,7.716331027,5.831121815,Declined,10,73,2.836223818,1,75.00257262,72.34822875,83.08048674,64.39907186,1.222963414
103,59.99347583,9.51,94.86,7.247241755,5.882842629,Improved,1,178,0,1,57.28957896,54.84238175,51.1178346,54.25525307,3.439251046
104,80.65512273,2.42,91.01,8.254905242,6.716963056,Same,8,42,1.638492614,1,67.97138801,73.1921924,65.00906672,70.25982094,1.963215264
105,97.44515367,8.76,80.57,5.596172435,4.95079533,Same,14,145,1.339829209,1,89.91615607,93.32561351,89.78412728,76.17863185,2.547228968
106,67.08556824,6.85,67,7.173376064,8.206421437,Same,5,175,3.215183226,1,53.7110726,62.94460923,55.1118784,51.21242172,1.322323249
107,68.07995908,5.75,69.47,8.389814233,2.837204838,Improved,10,105,2.037391132,1,62.57106077,65.49070169,58.52304317,59.93982148,1.588653004
108,94.89930926,8.29,82.45,6.48970431,3.570951981,Same,8,144,0,1,81.55531262,79.75885217,83.67561784,88.49700151,2.191908942
109,59.69710706,6.51,48.92,6.739644864,5.45802411,Same,6,102,0,0,52.5838991,55.53717326,50.21470237,50.65879004,1.359038002
110,62.21747985,6.86,83.5,6.559747763,6.453643389,Declined,14,119,6.57835178,1,44.23389504,49.77741294,44.16163369,46.14883996,4.643305059
111,68.86627632,2.91,84.76,7.244388242,5.355127188,Declined,8,53,0.960967504,1,55.93632991,60.03874082,58.66775115,56.64261561,1.024188173
112,71.1593235,8.26,100,6.365464131,3.72880058,Improved,13,47,1.601784529,1,48.8671708,51.40354095,48.89928215,38.2143384,2.935440875
113,87.36538032,6.68,66.96,6.520817273,3.235744801,Declined,6,72,2.2212364,1,91.13337088,96.46674433,88.95144143,94.97440696,1.492989833
114,79.73014096,8.52,82.68,7.213773228,4.740726131,Improved,8,173,0.753117458,1,84.44662088,90.29309883,83.89857186,85.5236034,2.230716358
115,72.66268145,3.84,74.17,7.27219718,2.629344662,Improved,10,87,0.792203517,1,74.83720661,81.74800156,74.39539181,77.37854981,4.704238239
116,82.25605713,3.65,66.39,7.268218083,5.253910817,Same,1,87,1.452900813,1,87.93033246,91.1738819,86.08027731,107.561521,1.646778213
117,77.06634531,0.73,71.56,6.407836938,8.514076033,Improved,14,147,2.418504044,1,84.20196423,83.36637383,82.90798392,73.78139953,4.863329279
118,65.36980322,7.8,60.73,7.891868478,2.910166491,Same,13,104,0,1,50.26135324,50.99492167,58.25458909,58.88483649,1.823177508
119,81.72439156,3.64,91.4,6.603571997,5.836982293,Declined,6,100,5.218369869,1,89.09074492,95.12328975,91.89534216,87.65350732,3.966264434
120,67.36172269,3.61,82.47,6.739928023,3.570750425,Improved,11,53,0.99660605,1,69.66382331,65.57914495,68.18642172,71.10046783,3.18670906
121,88.48033321,7.04,78.94,5.963465842,5.506357421,Declined,1,142,4.735934969,1,84.40920853,86.25257508,87.89398056,84.18164731,4.53791491
122,82.15414813,2.9,100,7.205929178,7.860663524,Same,11,107,1.16138474,1,89.2850215,87.31832743,87.61592405,87.16383983,3.215973022
123,62.40441154,9.14,90.78,5.727115282,4.484506141,Declined,8,76,0,1,57.49019112,57.63391524,63.35581431,54.64102648,3.138236877
124,62.18513225,5.61,68.93,6.097640715,4.407935559,Declined,5,137,1.878434496,0,46.05285585,52.44511516,47.90106681,47.70039953,1.781832001
125,66.6100748,9.71,47.3,7.036366826,6.260838872,Declined,13,154,2.522606607,1,52.53643394,53.49192928,51.99992322,44.95056546,1.664917448
126,63.01313056,1.23,65.64,7.55696545,5.494933674,Same,4,127,4.792565531,1,63.49092837,63.72311112,65.729513,67.24382421,4.665956604
127,84.1536444,3.7,76.82,4.819686227,8.235019934,Same,3,169,2.146002825,1,84.99081213,78.19153142,77.13643137,82.9098401,2.311352795
128,78.4343032,4.12,98.94,7.231195636,4.33144578,Declined,6,104,3.900717139,1,87.34018208,91.07144991,81.70634473,81.68983538,2.48832902
129,68.74632764,7.44,74.75,7.907681142,1.841336185,Declined,14,51,2.851348531,1,40.38236718,43.60978808,34.41274215,38.13230289,4.039294634
130,76.66535338,2.52,82.07,6.980651127,3.798984172,Same,8,130,3.269514624,1,68.09110164,78.90737526,68.80581712,74.37684773,2.35529393
131,69.47930264,4.07,91.53,7.634312033,5.733019381,Declined,11,62,3.822069447,1,62.95760517,61.418714,71.62018017,60.28092974,4.808249787
132,62.38212594,9.15,76.85,7.727015898,4.487964967,Same,3,33,2.237219216,1,52.21592958,53.31168121,63.37243031,54.00819767,3.951711076
133,62.77145906,1.59,78.64,7.036139443,6.239956569,Improved,1,178,0.307901227,1,46.5925952,47.83951362,49.78285071,42.93781382,3.38971697
134,72.34837092,7.58,78.22,6.156136706,7.22640423,Improved,14,48,4.399270493,1,58.56883443,66.45610083,61.0730568,62.35844368,4.523580642
135,85.80254621,7.17,84.18,7.137328292,5.887067836,Improved,7,33,0.486314303,1,91.86003372,91.38355605,82.85474504,95.28757241,1.198423633
136,67.80228659,1.74,72.63,7.05554298,5.144209411,Declined,9,54,5.132486482,1,57.77616126,59.17126889,55.06279226,67.01920543,2.028250769
137,74.55859355,7.04,63.25,5.989950762,5.0418903,Improved,10,175,2.936125204,1,68.5334842,71.57296674,64.59456544,67.65566447,2.860145337
138,76.31372671,5.91,85.07,6.393139673,5.202849666,Improved,12,22,0,1,78.66604274,79.59908836,75.56180475,82.00931676,1.907914158
139,68.28378443,3.23,61.42,8.444629987,5.432016364,Declined,12,138,0.464303398,1,59.99962813,57.76746006,59.15890904,60.48996583,3.975620749
140,76.29504508,3.46,87.48,7.927280094,6.647169032,Declined,14,95,6.632176112,1,93.44801455,94.41846451,91.08756166,99.92737346,4.676832124
141,91.33593177,8.41,92.32,6.828119254,4.459028727,Declined,3,39,2.120017346,1,92.93460122,98.30275997,83.03810217,89.34043928,2.69508048
142,68.41800204,2.69,87.84,6.033284628,3.866875487,Same,7,142,1.351982803,1,53.84802627,48.71544977,57.58757755,57.57305283,2.3685304
143,69.80705469,5.37,91.37,7.106855484,7.068772601,Declined,9,135,3.709946347,1,67.34866782,68.01351619,61.9849527,66.37518134,4.846202929
144,77.76782843,6.97,41.95,7.562371406,6.309428083,Declined,12,107,0.995049822,1,56.54830704,53.04770297,57.74454136,56.22736615,2.779409731
145,68.268196,1.73,58.88,7.199765581,4.985741994,Same,5,101,0.649708561,1,55.66622719,61.64146034,66.03664054,56.12498961,2.956193602
146,55.83367319,9.36,58.54,6.178128933,5.113026866,Improved,4,131,0.055323458,1,42.0287821,34.41284758,37.43185915,43.28998409,2.406599489
147,81.04670629,2.98,77.73,5.429622351,5.982250645,Improved,11,145,1.984043663,1,73.52603837,70.73142913,60.87460076,72.94489315,4.638193892
148,75.81391422,3.53,84.62,6.886379854,1.666627323,Improved,1,176,1.792777603,1,67.64734628,69.53340565,66.21732517,68.72091219,3.275821933
149,63.38856559,6.83,61.9,8.055475419,5.790965647,Declined,8,77,2.706409212,1,42.83133132,50.65895146,48.33612949,50.72192161,4.048698349
150,65.53399974,1.24,82.15,6.136263428,7.719185947,Same,1,30,0.845504903,1,55.32555553,54.99680423,65.1172928,60.25280396,4.247226873
151,87.22979048,6.46,72.35,7.440867605,4.119192606,Improved,12,179,0.489523589,1,89.95462373,87.17862609,83.80687576,94.30039669,2.367396168
152,65.27916054,9.2,53.98,7.653785943,5.815000414,Declined,8,140,4.307826828,1,53.17590399,62.58168933,55.6594001,50.89820636,2.734777325
153,66.76431624,2.87,84.86,6.4479914,3.129032393,Same,5,25,0,1,47.96921797,40.72914846,45.64266568,43.52301382,4.393887098
154,63.93522864,3.94,89.21,7.102057335,5.200603197,Declined,6,50,0,1,66.91990182,55.92587203,66.39016004,71.69640461,2.453021407
155,84.93602017,2.71,91.29,7.504991156,4.618686728,Same,14,50,2.081903757,1,94.21077498,96.41084723,107.4324917,98.59100894,4.175740534
156,75.26729546,8.28,86.91,6.090442768,7.810986938,Improved,3,37,2.027378218,1,53.31303993,50.80276881,45.79818829,60.67639331,4.76396929
157,74.64839028,2.09,85.19,6.678658835,6.24630501,Declined,9,89,0.366926213,1,76.96745511,71.86129102,78.23615341,73.94755198,3.492841492
158,77.92534793,3.79,61.83,5.208272622,4.33396397,Improved,8,134,4.050848201,1,81.88907884,85.43086108,84.2275447,80.74133557,3.96650915
159,64.29522577,6.21,69.17,6.838992781,5.12891944,Improved,5,64,5.05707031,1,53.07006492,54.28906849,58.49899654,44.87264411,4.220389248
160,73.95191891,4.34,59.02,7.174906256,8.186266606,Same,10,16,3.191820437,1,80.05189917,77.23150602,80.54181494,78.08954364,4.380158596
161,59.07263227,1.12,68.2,7.488772663,1,Improved,3,45,2.283758924,1,60.2280723,53.82655031,61.768325,65.21092485,2.580213351
162,76.23547835,9.5,31.26,7.00570535,1.751857768,Same,10,54,3.622722499,1,74.77682068,79.13910732,72.81857785,72.44434379,1.205053837
163,78.10136417,3.71,100,6.798761544,5.436872092,Improved,13,167,2.863179498,1,74.84413409,78.09513998,76.1897688,78.04653307,2.607505085
164,74.47127847,4.73,94.84,6.698145339,4.625769922,Declined,7,148,1.843376735,1,69.46760762,68.97172831,67.75164625,68.51509209,3.695024919
165,61.75857587,2.09,82.66,7.063318808,3.428158314,Same,10,133,4.395109053,1,44.96593735,54.19912233,48.0737968,46.58622249,2.801401543
166,83.18602298,8.72,67.48,5.181611829,4.654428219,Improved,1,32,2.212536736,1,85.94163726,80.59121343,84.09358558,80.20318031,3.995852603
167,73.93565914,3.27,77.56,7.101920932,5.14108002,Declined,8,112,2.044551533,1,57.64290357,50.01527772,59.52840554,58.06895082,2.427929718
168,64.17702811,0.69,100,6.444539379,3.447560903,Improved,12,72,0,0,50.25851807,46.79897772,50.112204,35.30283822,3.538976564
169,58.25090351,3.51,80.32,8.004324589,6.354709998,Declined,1,43,2.643012382,0,42.24263279,42.0147027,47.87288404,41.30815199,1.745679219
170,74.84392851,9.85,82.88,6.785762764,5.879986458,Same,7,26,4.890268263,1,72.49911188,73.71580912,72.24214326,64.34674566,3.997477747
171,81.52975375,1.9,78.84,6.723547051,6.51893755,Declined,4,97,4.085210509,1,77.2660399,76.05985961,68.40087756,83.29601248,3.182783875
172,67.51629969,0.8,90.17,7.942666411,5.238602967,Improved,6,157,2.990486515,0,40.91233059,42.67260757,47.22193809,44.79936735,1.816257554
173,70.94184041,5.99,81.18,7.950796084,1.161012515,Declined,14,91,0,1,68.16511821,61.90742109,63.6364567,70.49847312,2.167644694
174,66.72330275,4.03,100,6.957735231,8.685755085,Declined,4,35,0,1,52.45726764,59.67609066,49.18843594,60.06229877,3.994434834
175,79.43403895,8.05,65.82,6.637029229,6.045064806,Same,13,158,0,1,75.48450347,75.07374758,72.506197,70.73992087,2.930404943
176,59.83218676,7.45,70.77,6.177560217,5.802896019,Same,12,169,0.668207231,1,49.5901536,55.17663275,56.46234406,58.32696958,1.864125762
177,79.10287363,2.26,88.89,7.590996706,5.424178702,Improved,7,40,0,1,78.0015756,79.71520233,67.32320453,82.66253342,4.869084761
178,63.30685274,5.86,31.2,8.161570088,7.169112676,Declined,10,164,2.705076253,1,61.27044405,63.55421014,76.95918671,60.08766761,3.860500079
179,76.91482317,0.81,70.6,6.43717482,5.239330727,Same,4,80,0,1,91.52014938,94.36898578,96.80043343,97.19825012,4.82853933
180,65.615558,4.68,90.13,7.273680312,4.80313584,Improved,5,30,2.084262469,1,47.56365193,49.80219473,48.6798465,42.03218437,2.708420181
181,67.45995095,7.28,86.03,6.251239231,2.672208578,Same,11,30,0,1,58.75864931,61.97226311,58.4841793,54.6360785,2.900401363
182,64.13192387,4.44,83.8,5.853627508,4.543149156,Declined,1,19,0,1,46.24104367,52.88680632,47.66881404,43.19809505,4.591820865
183,85.33959962,1.62,88.81,7.449115537,3.857625113,Declined,11,116,0.158881115,1,90.85814901,91.84075485,93.46376115,88.21326047,3.100197361
184,79.24483197,1.08,96.71,7.195561578,5.546383143,Improved,4,38,1.737471022,1,88.25366444,91.79868322,91.47974237,82.97087622,3.829115648
185,66.86712325,8.61,100,8.121746667,1.696761898,Same,13,39,2.527383102,1,54.18678952,53.73811105,56.96481185,60.30220486,2.00869151
186,71.98405474,8.97,100,7.052655095,4.447729794,Declined,1,23,0,1,76.29912253,83.49970861,76.74702594,75.00485053,2.786905875
187,89.4284723,3.76,93.56,6.459886881,5.714370028,Same,3,160,0.40634666,1,84.94722101,81.5652595,83.96052891,86.70974585,1.493799463
188,68.48817059,2.06,91.03,7.559446888,1.686402088,Improved,4,126,0.379376956,1,70.53604464,79.5407468,69.77967822,67.68428781,1.823920144
189,73.58646455,9.8,91.07,6.267488507,5.131172112,Same,11,125,0,1,69.13078181,68.92999206,68.15624041,60.02776531,1.003773661
190,61.43958006,5.69,74.15,5.963670336,6.818807872,Declined,12,54,2.841864525,1,53.301876,46.14800049,58.97072648,54.65216279,1.157060207
